Unique ID,CCSS,Standard Group,Grade Group,Category,,,Skill ID,Examples,Narrative,Notes,P7 Label,,,,,
1a3fd453-e241-4f0a-b4f3-5206a2586e1c,1.MD.B,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L4.2,,,,Level 5 - Shape Composer - Units of Units,,,,,Holistic Framework
31fc0338-4b14-4ff9-9770-9a391e177571,1.MD.4,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L1.1,,,,Level 1 - Picture Maker Level,,,,,Holistic Framework
39e10d2e-3a7b-4695-ac25-59db48fff90e,1.MD.4,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L1.3,,,,Level 1 - Picture Maker Level,,,,,Holistic Framework
4d63c06f-fa7a-4bf1-9954-5fd4c39077db,1.MD.A,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L2.3,Order various lengths of ribbon,,,Level 2 - Shape Composer Level,,,,,Holistic Framework
5e26f4c5-1a72-45b1-a840-be936a013c20,1.MD.A,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L4.1,,,,Level 5 - Shape Composer - Units of Units,,,,,Holistic Framework
6722446c-3349-4336-969a-057d0a40c88d,1.MD.4,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L1.4,,,,Level 1 - Picture Maker Level,,,,,Holistic Framework
6733c806-6ac6-442f-a635-b0c5db2c6075,1.MD.A,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L3.3,Use a foot ruler to compare bulletin board lengths.,,,Level 3 - Substitution Composer and Shape Composite Repeater,,,,,Holistic Framework
7daef59c-47ec-4e73-80db-a36fb406a353,1.MD.A,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L3.1,,,,Level 3 - Substitution Composer and Shape Composite Repeater,,,,,Holistic Framework
88294f35-2b09-487c-b437-4a504f767863,1.MD.4,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L1.2,,,,Level 1 - Picture Maker Level,,,,,Holistic Framework
88546181-8c62-440a-bc7a-b3e200f7c32c,1.MD.A,HF Skills Math,Geometry,3-Dimensional Figures: Composition of 3-D Shapes,3-Dimensional Figures,Composition of 3-D Shapes,H.A.MATH.G.3DF.C3DS.L2.1,,,,Level 2 - Shape Composer Level,,,,,Holistic Framework
